case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,page_stratum,dimension,profile,selection_mode,manifest_path
1,1,1,ADV-0122,The Curse on Humble Hill,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,1-2-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0122-v1.yml
2,1,2,ADV-0237,The First Mission,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,3,3-10-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0237-v1.yml
3,1,3,ADV-0173,Written in Blood,Journeys Through the Radiant Citadel,Wizards of the Coast,11,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0173-v1.yml
4,1,4,ADV-0035,The Lost City,Quests from the Infinite Staircase,Wizards of the Coast,31,31-60-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0035-v1.yml
5,1,5,ADV-0279,Burly's Plan / The Heist,The Wild Beyond the Witchlight,Wizards of the Coast,1,1-2-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0279-v1.yml
6,1,6,ADV-0027,Return to Baldur's Gate,Heroes of Baldur's Gate,Arcanum Worlds,3,3-10-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0027-v1.yml
7,1,7,ADV-0267,Wave Echo Cave,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,11-30-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0267-v1.yml
8,1,8,ADV-0276,Beyond a Lightless Star,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,32,31-60-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0276-v1.yml
9,1,9,ADV-0244,Camp Carrionclay,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,2,1-2-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0244-v1.yml
10,1,10,ADV-0201,Foaming Mugs,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,3,3-10-pages,Exploration Emphasis,ee-clean-reset-v0.5,first-wave,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0201-v1.yml
