case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,manifest_path
141,3,1,ADV-0299,Spring Madness,Waterdeep: Dragon Heist,Wizards of the Coast,16,Levels,levels-v2.1,experiments/production-backlog-004/production-backlog-004-qwen-levels-adv0299-v1.yml
142,3,2,ADV-0299,Spring Madness,Waterdeep: Dragon Heist,Wizards of the Coast,16,Combat Emphasis,production-base,experiments/production-backlog-004/production-backlog-004-qwen-combat-adv0299-v1.yml
143,3,3,ADV-0299,Spring Madness,Waterdeep: Dragon Heist,Wizards of the Coast,16,Structural Openness,production-base,experiments/production-backlog-004/production-backlog-004-qwen-structural-openness-adv0299-v1.yml
144,3,4,ADV-0299,Spring Madness,Waterdeep: Dragon Heist,Wizards of the Coast,16,Darkness / Horror Intensity,production-base,experiments/production-backlog-004/production-backlog-004-qwen-darkness-adv0299-v1.yml
145,3,5,ADV-0299,Spring Madness,Waterdeep: Dragon Heist,Wizards of the Coast,16,Player Beginner Suitability,production-base,experiments/production-backlog-004/production-backlog-004-qwen-player-beginner-adv0299-v1.yml
146,3,6,ADV-0299,Spring Madness,Waterdeep: Dragon Heist,Wizards of the Coast,16,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-004/production-backlog-004-qwen-social-adv0299-v1.yml
147,3,7,ADV-0299,Spring Madness,Waterdeep: Dragon Heist,Wizards of the Coast,16,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-004/production-backlog-004-qwen-investigation-adv0299-v1.yml
148,3,8,ADV-0158,Dougan's Hell,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Levels,levels-v2.1,experiments/production-backlog-004/production-backlog-004-qwen-levels-adv0158-v1.yml
149,3,9,ADV-0158,Dougan's Hell,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,production-base,experiments/production-backlog-004/production-backlog-004-qwen-combat-adv0158-v1.yml
150,3,10,ADV-0158,Dougan's Hell,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,production-base,experiments/production-backlog-004/production-backlog-004-qwen-structural-openness-adv0158-v1.yml
151,3,11,ADV-0158,Dougan's Hell,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,production-base,experiments/production-backlog-004/production-backlog-004-qwen-darkness-adv0158-v1.yml
152,3,12,ADV-0158,Dougan's Hell,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,production-base,experiments/production-backlog-004/production-backlog-004-qwen-player-beginner-adv0158-v1.yml
153,3,13,ADV-0158,Dougan's Hell,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-004/production-backlog-004-qwen-social-adv0158-v1.yml
154,3,14,ADV-0158,Dougan's Hell,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-004/production-backlog-004-qwen-investigation-adv0158-v1.yml
155,3,15,ADV-0014,Expert Treasure Hunters,Shire Adventures,Free League Publishing,6,Levels,levels-v2.1,experiments/production-backlog-004/production-backlog-004-qwen-levels-adv0014-v1.yml
156,3,16,ADV-0014,Expert Treasure Hunters,Shire Adventures,Free League Publishing,6,Combat Emphasis,production-base,experiments/production-backlog-004/production-backlog-004-qwen-combat-adv0014-v1.yml
157,3,17,ADV-0014,Expert Treasure Hunters,Shire Adventures,Free League Publishing,6,Structural Openness,production-base,experiments/production-backlog-004/production-backlog-004-qwen-structural-openness-adv0014-v1.yml
158,3,18,ADV-0014,Expert Treasure Hunters,Shire Adventures,Free League Publishing,6,Darkness / Horror Intensity,production-base,experiments/production-backlog-004/production-backlog-004-qwen-darkness-adv0014-v1.yml
159,3,19,ADV-0014,Expert Treasure Hunters,Shire Adventures,Free League Publishing,6,Player Beginner Suitability,production-base,experiments/production-backlog-004/production-backlog-004-qwen-player-beginner-adv0014-v1.yml
