case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,manifest_path
71,2,1,ADV-0076,Werewolf Den,Curse of Strahd,Wizards of the Coast,5,Levels,levels-v2.1,experiments/production-backlog-004/production-backlog-004-qwen-levels-adv0076-v1.yml
72,2,2,ADV-0076,Werewolf Den,Curse of Strahd,Wizards of the Coast,5,Combat Emphasis,production-base,experiments/production-backlog-004/production-backlog-004-qwen-combat-adv0076-v1.yml
73,2,3,ADV-0076,Werewolf Den,Curse of Strahd,Wizards of the Coast,5,Structural Openness,production-base,experiments/production-backlog-004/production-backlog-004-qwen-structural-openness-adv0076-v1.yml
74,2,4,ADV-0076,Werewolf Den,Curse of Strahd,Wizards of the Coast,5,Darkness / Horror Intensity,production-base,experiments/production-backlog-004/production-backlog-004-qwen-darkness-adv0076-v1.yml
75,2,5,ADV-0076,Werewolf Den,Curse of Strahd,Wizards of the Coast,5,Player Beginner Suitability,production-base,experiments/production-backlog-004/production-backlog-004-qwen-player-beginner-adv0076-v1.yml
76,2,6,ADV-0076,Werewolf Den,Curse of Strahd,Wizards of the Coast,5,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-004/production-backlog-004-qwen-social-adv0076-v1.yml
77,2,7,ADV-0076,Werewolf Den,Curse of Strahd,Wizards of the Coast,5,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-004/production-backlog-004-qwen-investigation-adv0076-v1.yml
78,2,8,ADV-0269,Zorzula's Rest,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,14,Levels,levels-v2.1,experiments/production-backlog-004/production-backlog-004-qwen-levels-adv0269-v1.yml
79,2,9,ADV-0269,Zorzula's Rest,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,14,Combat Emphasis,production-base,experiments/production-backlog-004/production-backlog-004-qwen-combat-adv0269-v1.yml
80,2,10,ADV-0269,Zorzula's Rest,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,14,Structural Openness,production-base,experiments/production-backlog-004/production-backlog-004-qwen-structural-openness-adv0269-v1.yml
81,2,11,ADV-0269,Zorzula's Rest,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,14,Darkness / Horror Intensity,production-base,experiments/production-backlog-004/production-backlog-004-qwen-darkness-adv0269-v1.yml
82,2,12,ADV-0269,Zorzula's Rest,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,14,Player Beginner Suitability,production-base,experiments/production-backlog-004/production-backlog-004-qwen-player-beginner-adv0269-v1.yml
83,2,13,ADV-0269,Zorzula's Rest,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,14,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-004/production-backlog-004-qwen-social-adv0269-v1.yml
84,2,14,ADV-0269,Zorzula's Rest,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,14,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-004/production-backlog-004-qwen-investigation-adv0269-v1.yml
85,2,15,ADV-0153,The Tomb of Damara,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Levels,levels-v2.1,experiments/production-backlog-004/production-backlog-004-qwen-levels-adv0153-v1.yml
86,2,16,ADV-0153,The Tomb of Damara,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,production-base,experiments/production-backlog-004/production-backlog-004-qwen-combat-adv0153-v1.yml
87,2,17,ADV-0153,The Tomb of Damara,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,production-base,experiments/production-backlog-004/production-backlog-004-qwen-structural-openness-adv0153-v1.yml
88,2,18,ADV-0153,The Tomb of Damara,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,production-base,experiments/production-backlog-004/production-backlog-004-qwen-darkness-adv0153-v1.yml
89,2,19,ADV-0153,The Tomb of Damara,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,production-base,experiments/production-backlog-004/production-backlog-004-qwen-player-beginner-adv0153-v1.yml
90,2,20,ADV-0153,The Tomb of Damara,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-004/production-backlog-004-qwen-social-adv0153-v1.yml
91,2,21,ADV-0153,The Tomb of Damara,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-004/production-backlog-004-qwen-investigation-adv0153-v1.yml
92,2,22,ADV-0256,Fate at Furygale,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,Levels,levels-v2.1,experiments/production-backlog-004/production-backlog-004-qwen-levels-adv0256-v1.yml
93,2,23,ADV-0256,Fate at Furygale,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,Combat Emphasis,production-base,experiments/production-backlog-004/production-backlog-004-qwen-combat-adv0256-v1.yml
94,2,24,ADV-0256,Fate at Furygale,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,Structural Openness,production-base,experiments/production-backlog-004/production-backlog-004-qwen-structural-openness-adv0256-v1.yml
95,2,25,ADV-0256,Fate at Furygale,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,Darkness / Horror Intensity,production-base,experiments/production-backlog-004/production-backlog-004-qwen-darkness-adv0256-v1.yml
96,2,26,ADV-0256,Fate at Furygale,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,Player Beginner Suitability,production-base,experiments/production-backlog-004/production-backlog-004-qwen-player-beginner-adv0256-v1.yml
97,2,27,ADV-0256,Fate at Furygale,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-004/production-backlog-004-qwen-social-adv0256-v1.yml
98,2,28,ADV-0256,Fate at Furygale,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-004/production-backlog-004-qwen-investigation-adv0256-v1.yml
99,2,29,ADV-0316,Castle of the Cloud Giants,Storm King's Thunder,Wizards of the Coast,14,Levels,levels-v2.1,experiments/production-backlog-004/production-backlog-004-qwen-levels-adv0316-v1.yml
