case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,page_stratum,dimension,profile,selection_mode,manifest_path
51,2,1,ADV-0296,Encounter 9: Cellar Complex,Waterdeep: Dragon Heist,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0296-v1.yml
52,2,2,ADV-0320,The Morkoth,Storm King's Thunder,Wizards of the Coast,4,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0320-v1.yml
53,2,3,ADV-0016,Involuntary Postmen,Shire Adventures,Free League Publishing,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0016-v1.yml
54,2,4,ADV-0026,The Nest,Heroes of Baldur's Gate,Arcanum Worlds,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0026-v1.yml
55,2,5,ADV-0076,Werewolf Den,Curse of Strahd,Wizards of the Coast,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0076-v1.yml
56,2,6,ADV-0238,Wheelwatch Outpost,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0238-v1.yml
57,2,7,ADV-0255,The Scriptoria Collections,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0255-v1.yml
58,2,8,ADV-0256,Fate at Furygale,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0256-v1.yml
59,2,9,ADV-0284,Brigganock Mine,The Wild Beyond the Witchlight,Wizards of the Coast,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0284-v1.yml
60,2,10,ADV-0290,Encounter 1: Alley,Waterdeep: Dragon Heist,Wizards of the Coast,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0290-v1.yml
61,2,11,ADV-0294,Encounter 7: Old Tower,Waterdeep: Dragon Heist,Wizards of the Coast,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0294-v1.yml
62,2,12,ADV-0297,Encounter 10: Converted Windmill,Waterdeep: Dragon Heist,Wizards of the Coast,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0297-v1.yml
63,2,13,ADV-0306,Tower of Zephyros,Storm King's Thunder,Wizards of the Coast,5,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0306-v1.yml
64,2,14,ADV-0072,Van Richten's Tower,Curse of Strahd,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0072-v1.yml
65,2,15,ADV-0203,The Unseen,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0203-v1.yml
66,2,16,ADV-0204,Holed Up,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0204-v1.yml
67,2,17,ADV-0205,Toil and Trouble,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0205-v1.yml
68,2,18,ADV-0206,The Mead Must Flow,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0206-v1.yml
69,2,19,ADV-0207,The White Moose,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0207-v1.yml
70,2,20,ADV-0208,Mountain Climb,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0208-v1.yml
71,2,21,ADV-0209,A Beautiful Mine,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0209-v1.yml
72,2,22,ADV-0211,Black Cabin,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0211-v1.yml
73,2,23,ADV-0215,Id Ascendant,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0215-v1.yml
74,2,24,ADV-0217,Karkolohk,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0217-v1.yml
75,2,25,ADV-0220,Skytower Shelter,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0220-v1.yml
76,2,26,ADV-0266,Cragmaw Castle,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,6,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0266-v1.yml
77,2,27,ADV-0013,A Conspiracy Most Cracked,Shire Adventures,Free League Publishing,7,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0013-v1.yml
78,2,28,ADV-0247,Threshold of the Heavens,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,7,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0247-v1.yml
79,2,29,ADV-0258,Midnight at Lorehold,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,7,,Exploration Emphasis,ee-clean-reset-v0.5,backfill,experiments/production-ee-b002/production-ee-b002-gptoss-ee-adv0258-v1.yml
