case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,manifest_path
151,4,1,ADV-0121,Dragons of the Sandstone City,Dragon Delves,Wizards of the Coast,12,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0121-v1.yml
152,4,2,ADV-0323,Dungeon Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,14,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0323-v1.yml
153,4,3,ADV-0074,Amber Temple,Curse of Strahd,Wizards of the Coast,16,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0074-v1.yml
154,4,4,ADV-0282,Loomlurch,The Wild Beyond the Witchlight,Wizards of the Coast,18,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0282-v1.yml
155,4,5,ADV-0234,The Styes,Ghosts of Saltmarsh,Wizards of the Coast,23,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0234-v1.yml
156,4,6,ADV-0229,Danger at Dunwater,Ghosts of Saltmarsh,Wizards of the Coast,25,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0229-v1.yml
157,4,7,ADV-0276,Beyond a Lightless Star,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,32,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0276-v1.yml
158,4,8,ADV-0030,The Hidden Shrine of Tamoachan,Tales from the Yawning Portal,Wizards of the Coast,34,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0030-v1.yml
159,4,9,ADV-0033,Against the Giants,Tales from the Yawning Portal,Wizards of the Coast,46,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0033-v1.yml
160,4,10,ADV-0122,The Curse on Humble Hill,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0122-v1.yml
161,4,11,ADV-0123,Robber Baron,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0123-v1.yml
162,4,12,ADV-0124,The Siege of Shalespire Priory,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0124-v1.yml
163,4,13,ADV-0125,The Weeping Goddess,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0125-v1.yml
164,4,14,ADV-0126,Fury Grove,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0126-v1.yml
165,4,15,ADV-0138,In for a Penny,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0138-v1.yml
166,4,16,ADV-0139,Hell Ship,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0139-v1.yml
167,4,17,ADV-0140,The Summerlight Ceremony,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0140-v1.yml
168,4,18,ADV-0141,The Vault of Velsharoon,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0141-v1.yml
169,4,19,ADV-0142,Dragon Orb,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0142-v1.yml
170,4,20,ADV-0156,The Cost of Warmth,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0156-v1.yml
171,4,21,ADV-0163,The Rushdown Well,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0163-v1.yml
172,4,22,ADV-0164,Message in a Bottle,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0164-v1.yml
173,4,23,ADV-0165,Wreck of the Silverhand,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0165-v1.yml
174,4,24,ADV-0166,The Treaty of Ostoria,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0166-v1.yml
175,4,25,ADV-0167,Tide of Teeth,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0167-v1.yml
176,4,26,ADV-0155,The Temple of Transmutation,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,# of Sessions,nos-clean-blind-v1,experiments/production-backlog-008/production-backlog-008-qwen27-nos-adv0155-v1.yml
