case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
1,1,1,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-026/production-backlog-026-qwen27-nos-adv0630-v1.yml
2,1,2,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-026/production-backlog-026-gptoss-ee-adv0630-v1.yml
3,1,3,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-026/production-backlog-026-gemma-gmpb-adv0630-v1.yml
4,1,4,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-combat-adv0630-v1.yml
5,1,5,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-social-adv0630-v1.yml
6,1,6,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-investigation-adv0630-v1.yml
7,1,7,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,Structural Openness,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-structural-openness-adv0630-v1.yml
8,1,8,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-darkness-adv0630-v1.yml
9,1,9,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-player-beginner-adv0630-v1.yml
10,1,10,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-gmbs-adv0630-v1.yml
11,1,11,1,ADV-0630,Blood o' the Vine,Ravenloft: The Horrors Within,Wizards of the Coast,3,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-026/production-backlog-026-qwen-seriousness-adv0630-v1.yml
12,1,12,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-026/production-backlog-026-qwen27-nos-adv0631-v1.yml
13,1,13,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-026/production-backlog-026-gptoss-ee-adv0631-v1.yml
14,1,14,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-026/production-backlog-026-gemma-gmpb-adv0631-v1.yml
15,1,15,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-combat-adv0631-v1.yml
16,1,16,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-social-adv0631-v1.yml
17,1,17,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-investigation-adv0631-v1.yml
18,1,18,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,Structural Openness,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-structural-openness-adv0631-v1.yml
19,1,19,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-darkness-adv0631-v1.yml
20,1,20,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-player-beginner-adv0631-v1.yml
21,1,21,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-gmbs-adv0631-v1.yml
22,1,22,2,ADV-0631,Treacherous Blood,Ravenloft: The Horrors Within,Wizards of the Coast,2,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-026/production-backlog-026-qwen-seriousness-adv0631-v1.yml
23,1,23,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-026/production-backlog-026-qwen27-nos-adv0632-v1.yml
24,1,24,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-026/production-backlog-026-gptoss-ee-adv0632-v1.yml
25,1,25,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-026/production-backlog-026-gemma-gmpb-adv0632-v1.yml
26,1,26,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-combat-adv0632-v1.yml
27,1,27,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-social-adv0632-v1.yml
28,1,28,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-investigation-adv0632-v1.yml
29,1,29,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-structural-openness-adv0632-v1.yml
30,1,30,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-darkness-adv0632-v1.yml
31,1,31,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-player-beginner-adv0632-v1.yml
32,1,32,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-026/production-backlog-026-qwen-gmbs-adv0632-v1.yml
33,1,33,3,ADV-0632,Lethal Lavender,Ravenloft: The Horrors Within,Wizards of the Coast,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-026/production-backlog-026-qwen-seriousness-adv0632-v1.yml
34,1,34,4,ADV-0633,Secrets of Avernus,Ravenloft: The Horrors Within,Wizards of the Coast,2,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-026/production-backlog-026-qwen27-nos-adv0633-v1.yml
35,1,35,4,ADV-0633,Secrets of Avernus,Ravenloft: The Horrors Within,Wizards of the Coast,2,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-026/production-backlog-026-gptoss-ee-adv0633-v1.yml
